apple=n. 苹果
banana=n. 香蕉
book=n. 书
cat=n. 猫
dog=n. 狗
egg=n. 鸡蛋
fish=n. 鱼
girl=n. 女孩
house=n. 房子
ice=n. 冰
juice=n. 果汁
key=n. 钥匙
lion=n. 狮子
moon=n. 月亮
night=n. 夜晚
orange=n. 橙子
pen=n. 钢笔
queen=n. 女王
rain=n. 雨
sun=n. 太阳
tree=n. 树
umbrella=n. 雨伞
voice=n. 声音
water=n. 水
box=n. 盒子
yellow=adj. 黄色的
zoo=n. 动物园
run=v. 跑
jump=v. 跳
sing=v. 唱歌
dance=v. 跳舞
eat=v. 吃
drink=v. 喝
sleep=v. 睡觉
read=v. 阅读
write=v. 写
happy=adj. 快乐的
sad=adj. 悲伤的
big=adj. 大的
small=adj. 小的
hot=adj. 热的
cold=adj. 冷的
fast=adj. 快的
slow=adj. 慢的
beautiful=adj. 美丽的
ugly=adj. 丑陋的
strong=adj. 强壮的
weak=adj. 虚弱的
new=adj. 新的
old=adj. 旧的
good=adj. 好的
bad=adj. 坏的
teacher=n. 老师
student=n. 学生
school=n. 学校
computer=n. 电脑
phone=n. 手机
table=n. 桌子
chair=n. 椅子
window=n. 窗户
door=n. 门
car=n. 汽车
bus=n. 公交车
train=n. 火车
plane=n. 飞机
ship=n. 船
bike=n. 自行车
road=n. 路
bridge=n. 桥
mountain=n. 山
river=n. 河流
